kind_code,target,delta,realization,W3_reconstructed,min_patch_overlap,c0,c1,c2,c3,c4,c5
0.000000000000000000e+00,1.000000000000000000e+00,8.000000000000000167e-02,1.800000000000000000e+01,9.960213621761275782e-01,3.302901994742958869e-01,4.033564788681406887e-02,-5.649919601801524360e-02,-6.814734396290502705e-01,1.292913639982183449e+00,1.892097200390508549e+00,1.888622380996297423e+00
0.000000000000000000e+00,1.000000000000000000e+00,8.000000000000000167e-02,1.900000000000000000e+01,9.965961705167415419e-01,3.152690111278007024e-01,1.687364542869086659e+00,-1.565471677981120427e-02,1.451492336056136256e+00,-1.004337058338837241e-01,1.123375594755818607e+00,2.360598134453902597e-01
0.000000000000000000e+00,1.000000000000000000e+00,8.000000000000000167e-02,2.000000000000000000e+01,9.968796186102547585e-01,3.226575009066429134e-01,3.336701010604076721e-03,5.139463510938785396e-01,4.095709856360389978e-01,6.666956320952850401e-01,-2.381341449921474049e-02,3.670849906179016187e-02
0.000000000000000000e+00,1.000000000000000000e+00,8.000000000000000167e-02,2.100000000000000000e+01,9.975447379683292093e-01,3.306351134824820348e-01,-4.082831318896529282e-01,1.372305038233788022e+00,2.893898023647735740e-01,-1.851086976070110690e-01,-6.845762680310951698e-01,-5.565824995088615168e-01
0.000000000000000000e+00,1.000000000000000000e+00,8.000000000000000167e-02,2.200000000000000000e+01,9.963215603739147275e-01,3.193887298058700752e-01,7.187219435512748333e-01,-1.837747299612235707e-01,5.949401280783781498e-01,1.130176913200826805e+00,1.216952673244422689e+00,7.885371466482683778e-02
0.000000000000000000e+00,1.000000000000000000e+00,8.000000000000000167e-02,2.300000000000000000e+01,9.982550334332696007e-01,3.297613919244185565e-01,4.306280513284520273e-02,-2.752148480636562589e-01,-1.738034310984680197e-01,6.512367323730605673e-01,-1.276647335147291784e+00,-4.682532352981205737e-01
0.000000000000000000e+00,1.000000000000000000e+00,8.000000000000000167e-02,2.400000000000000000e+01,9.967002459651213009e-01,3.361857154406753256e-01,-8.764799120764066309e-01,-1.837062818515903528e-01,-1.533366722333232346e+00,-8.488444491767923594e-01,1.786409668864116895e+00,-1.194954860161667298e+00
0.000000000000000000e+00,1.000000000000000000e+00,8.000000000000000167e-02,2.500000000000000000e+01,9.971383854027148219e-01,3.153898077871855610e-01,2.334078616275493179e+00,2.861068221700423519e-01,1.850936977132931593e+00,-1.096617650245791165e+00,-7.837376759490922717e-01,-1.631706805420831408e-01
0.000000000000000000e+00,1.000000000000000000e+00,8.000000000000000167e-02,2.600000000000000000e+01,9.967144395844218518e-01,3.179776435939558055e-01,1.044427033925791060e+00,5.772180843584067134e-01,-1.131457180561721149e-01,-1.536887453843520934e-01,3.736425537401487085e-01,-1.909041348240403113e-01
0.000000000000000000e+00,1.000000000000000000e+00,8.000000000000000167e-02,2.700000000000000000e+01,9.974302677642402637e-01,3.166379933530085733e-01,1.087991969123728531e+00,-6.337828575589682378e-02,1.593525189837988965e+00,3.436000974604918601e-01,-1.288542305348605588e+00,4.141542077900802199e-01
0.000000000000000000e+00,1.000000000000000000e+00,8.000000000000000167e-02,2.800000000000000000e+01,9.972464439135708680e-01,3.170734850025472840e-01,8.360665496320539569e-01,5.448370274133969293e-02,1.546191758380114356e+00,1.144331444457599156e+00,-7.343372317968610563e-01,-4.597063480488143838e-01
0.000000000000000000e+00,1.000000000000000000e+00,8.000000000000000167e-02,2.900000000000000000e+01,9.973987744635512964e-01,3.235450325283628081e-01,7.952424312132737594e-01,-6.204391847913193203e-01,-7.046456641904307316e-01,1.191358446241865959e-01,-5.324294530314233054e-01,7.555359642679969623e-01
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.968898007375355252e-01,3.212409184941541485e-01,1.261518424200660515e+00,-2.002353864278437534e+00,-8.379844115052330622e-01,1.327951874552398548e-01,6.246686146633994019e-01,5.138453951607124814e-01
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000056e-01,1.000000000000000000e+00,9.983541292005869705e-01,3.353991374651237312e-01,-1.391092137499976358e-02,-1.198749855164733535e+00,-8.799985357150007514e-01,-4.960966843245976365e-01,-1.013266806123564123e+00,-1.249238166531308203e-01
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000056e-01,2.000000000000000000e+00,9.979424006241536249e-01,3.382826296602314819e-01,-4.766823631610743739e-01,-8.374762427516443397e-01,-1.367170147572280836e+00,4.244636025612959496e-01,-1.130936034233114507e+00,-1.575147128527799145e+00
